Transaction date;Operation;Amount;Category
08.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-7.9;Транспорт - Такси
07.02.2022 20:36:40;CH Debit BLR MINSK P2P SDBO NO FEE;-350.0;Переводы с карты на карту
07.02.2022 00:00:00;Retail BLR MINSK FITNES TSENTR FIZ-RA;-56.05;Индивидуальные сервис провайдеры
07.02.2022 00:00:00;Retail BLR Minsk Magazin cvety;-27.0;Магазины цветов
07.02.2022 00:00:00;"Retail BLR MINSK APTEKA N 78 ""BELFARMATSIY";-3.04;Аптеки
07.02.2022 00:00:00;"Retail BLR MINSK SHOP ""VITALUR""";-12.87;Магазины продуктовые
07.02.2022 00:00:00;Retail BLR G. MINSK MINI-KAFE KAFE 2;-20.5;Ресторация / бары / кафе
06.02.2022 11:57:04;ATM BLR VITEBSK ATM 234 VITEBSK;-50.0;Снятие наличных
06.02.2022 11:29:04;CH Debit BLR MINSK P2P_SDBO;-200.0;Переводы с карты на карту
06.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.1;Транспорт - Такси
05.02.2022 15:27:48;ATM BLR VITEBSK ATM 234 VITEBSK;-100.0;Снятие наличных
04.02.2022 19:19:40;Retail BLR MINSK MOBILE BANK;-10.0;Денежные переводы
04.02.2022 19:18:49;Retail BLR MINSK MOBILE BANK;-13.0;Денежные переводы
04.02.2022 00:00:00;"Retail BLR MINSK RBO ""BURGER KING""";-11.5;Ресторация / бары / кафе
04.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-9.6;Транспорт - Такси
04.02.2022 00:00:00;"Retail BLR MINSK PAV.N 11 TPK ""NOVY VEK""";-7.2;Ресторация / бары / кафе
04.02.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP;-1.6;Транспортировка
03.02.2022 00:00:00;"Retail BLR MINSK SHOP ""EVROOPT""";-8.47;Магазины продуктовые
02.02.2022 00:00:00;Retail BLR MINSK ROSE CAFE;-46.6;Ресторация / бары / кафе
01.02.2022 00:00:00;Retail BLR MINSK PT BELFARMATSIYA APTEKA N;-18.59;Аптеки
01.02.2022 00:00:00;"Retail BLR MINSK SHOP ""EVROOPT""";-7.96;Магазины продуктовые
01.02.2022 00:00:00;Retail BLR MINSK SHOP MILA;-8.95;Магазины хозтоваров
